ID  ,Firstname ,LastName ,Hometown ,lon,lat,PhoneNumber ,Password ,mail 
2211,דנה,חיים,הוד השרון,34.897,32.139,054-8913388,223344,dana@gmail.com
113344,רותם,מזרחי,תל אביב,34.786,32.074,052-8947722,113366,rotem@gmail.com
32798,אלי,דוד,תל אביב,34.786,32.074,054-6829955,556677,eli@gmail.com
8976,רחלי,ברוך,הוד השרון,34.897,32.139,053-4713344,225566,rhal@gmail.com
8791,דן,אלון,באר שבע,34.801,31.267,052-5849911,33445,dan@gmail.com
4311,אביב,דויד,רמת גן,34.811,32.081,052-5487912,98754,aviv@gmail.com
36444,אביבה,חיים,גבעתיים,34.81,32.076,052-5824313,23364,avivva@gmail.com
6553,אביגל,אביבי,תל אביב,34.786,32.074,052-9129914,8654,avigei@gmail.com
9876,אייר,אביגדורי,הוד השרון,34.897,32.139,052-1349915,25534,aiir@gmail.com
345,איריס,אבידב,באר שבע,34.801,31.267,052-5842678,788764,airiso@gmail.com
133455,עמית,אבידור,רמת גן,34.811,32.081,052-5811371,135447,amit@gmail.com
44334,דניאל,אגוז,קרית גת,34.762,31.622,052-2346181,143442,danly@gmail.com
8864,תובל,אדיב,אילת,34.954,29.551,052-2244519,86645,toov@gmail.com
33463,עדית,בן דור,אילת,34.954,29.551,052-5823420,31436,aid@gmail.com
254575,עטי,בן שלום,תל אביב,34.786,32.074,052-5198921,64453,hyty@gmail.com
5544332,עדן,דולב,קרית מלאכי,34.756,31.732,054-5841232,2547,aden@gmail.com
98760,עינת,דיין,תל אביב,34.786,32.074,052-2459923,37453,ainat@gmail.com
54346,עירית,דניאלי,הוד השרון,34.897,32.139,052-5234524,64742,hitiy1@gmail.com
865353,רות,הדס,באר שבע,34.801,31.267,052-5922325,37424,rooto@gmail.com
2335677,רוני,ורד,תל אביב,34.786,32.074,052-2349926,26557,root22@gmail.com
664635,רותי,זמורה,קרית גת,34.762,31.622,052-5345927,24354,roni@gmail.com
775866,רחל,חובה,קרית מלאכי,34.756,31.732,052-5232438,257456,rhaly!@gmail.com
865455,סער,חזני,תל אביב,34.786,32.074,052-5243491,1245,sharol@gmail.com
57565,סול,כהן,הוד השרון,34.897,32.139,052-5345931,98764,sharoly@gmail.com
777557,סתיו,חלד,באר שבע,34.801,31.267,052-5342381,1435,sool1@gmail.com
77665,סטיב,חנני,הוד השרון,34.897,32.139,052-2345932,6542,shtivy@gmail.com
8757664,דביר,חסון,תל אביב,34.786,32.074,052-5334568,87653,davir@gmail.com
86744,דולב,חרמון,הוד השרון,34.897,32.139,052-5313568,34221,dolacv@gmail.com
986758,דילן,טוביה,רמת גן,34.811,32.081,052-5343455,654323,danlano@gmail.com
976755,דן,יאיר,תל אביב,34.786,32.074,052-5323546,987513,dan22@gmail.com
